problem,difficulty,attempt 1 status,attempt 1 passed,attempt 1 total,attempt 2 status,attempt 2 passed,attempt 2 total,attempt 3 status,attempt 3 passed,attempt 3 total,passed w prompting,best attempt
twostones,1.2,,,,,,,,,,False,
cinema,2.1,,,,,,,,,,False,
1dfroggereasy,3.3,,,,,,,,,,False,
99problems,2.8,,,,,,,,,,False,
hello,,,,,,,,,,,False,
